iso_code;country;year;co2;co2_per_capita;trade_co2;cement_co2;cement_co2_per_capita;coal_co2;coal_co2_per_capita;flaring_co2;flaring_co2_per_capita;gas_co2;gas_co2_per_capita;oil_co2;oil_co2_per_capita;co2_growth_prct;co2_growth_abs;co2_per_unit_energy;cumulative_co2;cumulative_cement_co2;cumulative_coal_co2;cumulative_flaring_co2;cumulative_gas_co2;cumulative_oil_co2;cumulative_other_co2;share_global_co2;share_global_cement_co2;share_global_coal_co2;share_global_flaring_co2;share_global_gas_co2;share_global_oil_co2;share_global_other_co2;share_global_cumulative_co2;share_global_cumulative_cement_co2;share_global_cumulative_coal_co2;share_global_cumulative_flaring_co2;share_global_cumulative_gas_co2;share_global_cumulative_oil_co2;population;gdp;primary_energy_consumption;energy_per_capita
QAT;Qatar;2020;106.655;37.019;;2.305;0.8;;;1.154;0.401;90.164;31.295;13.032;4.523;-7.29;-8.382;0.224;2.094.572;35.448;;168.549;1.557.285;333.291;;0.31;0.14;;0.27;1.22;0.12;;0.12;0.08;;0.95;0.64;0.06;2881060.0;;475.503;165.044.292
;Reunion;2020;4.588;5.124;;;;2.106;2.352;;;;;2.482;2.773;0.0;0.0;;123.868;;40.531;;;83.336;;0.01;;0.02;;;0.02;;0.01;;0.01;;;0.01;895308.0;;;
ROU;Romania;2020;71.475;3.715;;3.828;0.199;12.943;0.673;0.592;0.031;22.562;1.173;30.375;1.579;-4.5;-3.371;0.193;8.493.294;261.097;2.528.211;28.781;2.872.038;2.767.242;35.925;0.21;0.24;0.09;0.14;0.3;0.27;0.39;0.5;0.6;0.32;0.16;1.17;0.47;19237682.0;;369.751;19.220.151
RUS;Russia;2020;1.577.136;10.807;;20.306;0.139;356.946;2.446;46.762;0.32;747.591;5.123;388.774;2.664;-6.09;-102.313;0.2;115344.15;1.636.979;45.132.885;1.161.175;34.157.493;32.715.047;540.571;4.53;1.25;2.55;10.75;10.1;3.51;5.63;6.8;3.79;5.72;6.53;13.93;5.52;145934460.0;;7.865.165;53.895.194
RWA;Rwanda;2020;1.033;0.08;;0.145;0.011;0.006;0.0;;;0.041;0.003;0.84;0.065;-13.03;-0.155;;28.684;1.576;0.032;;0.266;26.789;;0.0;0.01;0.0;;0.0;0.01;;0.0;0.0;0.0;;0.0;0.0;12952209.0;;;
;Ryukyu Islands;2020;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
SHN;Saint Helena;2020;0.009;1.564;;;;;;;;;;0.009;1.564;-11.51;-0.001;;0.379;;;;;0.379;;0.0;;;;;0.0;;0.0;;;;;0.0;6071.0;;;
KNA;Saint Kitts and Nevis;2020;0.212;3.986;;;;;;;;;;0.212;3.986;-11.51;-0.028;;6.34;;;;;6.34;;0.0;;;;;0.0;;0.0;;;;;0.0;53192.0;;;
LCA;Saint Lucia;2020;0.44;2.396;;;;;;;;;;0.44;2.396;-11.51;-0.057;;14.366;;;;;14.366;;0.0;;;;;0.0;;0.0;;;;;0.0;183629.0;;;
SPM;Saint Pierre and Miquelon;2020;0.051;8.738;;;;;;;;;;0.051;8.738;-11.51;-0.007;;3.677;;;;;3.181;;0.0;;;;;0.0;;0.0;;;;;0.0;5795.0;;;
VCT;Saint Vincent and the Grenadines;2020;0.209;1.883;;;;;;;;;;0.209;1.883;-11.51;-0.027;;6.967;;;;;6.967;;0.0;;;;;0.0;;0.0;;;;;0.0;110947.0;;;
WSM;Samoa;2020;0.246;1.239;;;;;;;;;;0.246;1.239;0.14;0.0;;6.782;;;;;6.782;;0.0;;;;;0.0;;0.0;;;;;0.0;198410.0;;;
STP;Sao Tome and Principe;2020;0.113;0.514;;;;;;;;;;0.113;0.514;-10.71;-0.014;;3.361;;;;;3.361;;0.0;;;;;0.0;;0.0;;;;;0.0;219161.0;;;
SAU;Saudi Arabia;2020;625.508;17.967;;25.593;0.735;;;0.095;0.003;257.22;7.388;342.599;9.841;0.5;3.095;0.213;15.936.377;531.614;;902.889;4.759.169;9.742.704;;1.8;1.57;;0.02;3.48;3.09;;0.94;1.23;;5.07;1.94;1.64;34813867.0;;2.933.478;84.261.772
SEN;Senegal;2020;10.451;0.624;;2.097;0.125;1.93;0.115;;;0.024;0.001;6.4;0.382;-7.23;-0.814;;243.299;37.766;18.254;;1.058;186.22;;0.03;0.13;0.01;;0.0;0.06;;0.01;0.09;0.0;;0.0;0.03;16743930.0;;;
SRB;Serbia;2020;43.135;4.937;;0.81;0.093;28.898;3.307;;;4.976;0.57;8.452;0.967;-12.57;-6.202;;2.734.456;28.922;2.051.856;;193.959;458.779;;0.12;0.05;0.21;;0.07;0.08;;0.16;0.07;0.26;;0.08;0.08;8737370.0;;;
SYC;Seychelles;2020;0.491;4.994;;;;;;;;;;0.491;4.994;-15.49;-0.09;;13.38;;;;;13.38;;0.0;;;;;0.0;;0.0;;;;;0.0;98340.0;;;
SLE;Sierra Leone;2020;0.877;0.11;;;;;;;;;;0.877;0.11;-8.69;-0.083;;36.096;;;;;35.232;;0.0;;;;;0.01;;0.0;;;;;0.01;7976985.0;;;
SGP;Singapore;2020;45.504;7.778;;;;2.051;0.351;;;21.107;3.608;22.345;3.82;-0.44;-0.201;0.048;2.157.028;;20.661;;334.116;1802.25;;0.13;;0.01;;0.29;0.2;;0.13;;0.0;;0.14;0.3;5850343.0;;948.879;162.191.999
SXM;Sint Maarten (Dutch part);2020;0.623;14.539;;;;;;;;;;0.623;14.539;-11.51;-0.081;;67.704;;;;;67.704;;0.0;;;;;0.01;;0.0;;;;;0.01;42882.0;;;
SVK;Slovakia;2020;30.73;5.629;;1.404;0.257;8.636;1.582;0.019;0.004;9.816;1.798;9.962;1.825;-9.01;-3.043;0.178;3.869.881;59.049;2.658.739;0.721;496.811;622.372;32.189;0.09;0.09;0.06;0.0;0.13;0.09;0.3;0.23;0.14;0.34;0.0;0.2;0.11;5459643.0;;173.052;31.696.583
